Destination,Port,State
192.168.40.2,897,Closed
192.168.40.2,792,Closed
192.168.40.2,829,Closed
192.168.40.2,594,Closed
192.168.40.2,218,Closed
192.168.40.2,879,Closed
192.168.40.2,381,Closed
192.168.40.2,288,Closed
192.168.40.2,758,Closed
192.168.40.2,633,Closed
192.168.40.2,955,Closed
192.168.40.2,986,Closed
192.168.40.2,1019,Closed
192.168.40.2,136,Closed
192.168.40.2,68,Closed
192.168.40.2,556,Closed
192.168.40.2,511,Closed
192.168.40.2,164,Closed
192.168.40.2,421,Closed
192.168.40.2,307,Closed
192.168.40.2,379,Closed
192.168.40.2,130,Closed
192.168.40.2,836,Closed
192.168.40.2,779,Closed
192.168.40.2,976,Closed
192.168.40.2,292,Closed
192.168.40.2,72,Closed
192.168.40.2,761,Closed
192.168.40.2,126,Closed
192.168.40.2,361,Closed
192.168.40.2,325,Closed
192.168.40.2,797,Closed
192.168.40.2,120,Closed
192.168.40.2,21,Closed
192.168.40.2,27,Closed
192.168.40.2,301,Closed
192.168.40.2,547,Closed
192.168.40.2,149,Closed
192.168.40.2,938,Closed
192.168.40.2,692,Closed
192.168.40.2,578,Closed
192.168.40.2,388,Closed
192.168.40.2,572,Closed
192.168.40.2,873,Closed
192.168.40.2,445,Closed
192.168.40.2,99,Closed
192.168.40.2,449,Closed
192.168.40.2,598,Closed
192.168.40.2,723,Closed
192.168.40.2,448,Closed
192.168.40.2,687,Closed
192.168.40.2,412,Closed
192.168.40.2,848,Closed
192.168.40.2,417,Closed
192.168.40.2,816,Closed
192.168.40.2,767,Closed
192.168.40.2,825,Closed
192.168.40.2,1002,Closed
192.168.40.2,649,Closed
192.168.40.2,106,Closed
192.168.40.2,954,Closed
192.168.40.2,212,Closed
192.168.40.2,315,Closed
192.168.40.2,319,Closed
192.168.40.2,474,Closed
192.168.40.2,887,Closed
192.168.40.2,62,Closed
192.168.40.2,18,Closed
192.168.40.2,585,Closed
192.168.40.2,943,Closed
192.168.40.2,294,Closed
192.168.40.2,946,Closed
192.168.40.2,316,Closed
192.168.40.2,463,Closed
192.168.40.2,695,Closed
192.168.40.2,832,Closed
192.168.40.2,321,Closed
192.168.40.2,478,Closed
192.168.40.2,770,Closed
192.168.40.2,371,Closed
192.168.40.2,8,Closed
192.168.40.2,349,Closed
192.168.40.2,393,Closed
192.168.40.2,942,Closed
192.168.40.2,282,Closed
192.168.40.2,605,Closed
192.168.40.2,92,Closed
192.168.40.2,311,Closed
192.168.40.2,643,Closed
192.168.40.2,737,Closed
192.168.40.2,190,Closed
192.168.40.2,153,Closed
192.168.40.2,250,Closed
192.168.40.2,100,Closed
192.168.40.2,103,Closed
192.168.40.2,494,Closed
192.168.40.2,518,Closed
192.168.40.2,76,Closed
192.168.40.2,991,Closed
192.168.40.2,1020,Closed
192.168.40.2,436,Closed
192.168.40.2,701,Closed
192.168.40.2,988,Closed
192.168.40.2,404,Closed
192.168.40.2,41,Closed
192.168.40.2,625,Closed
192.168.40.2,96,Closed
192.168.40.2,803,Closed
192.168.40.2,248,Closed
192.168.40.2,143,Closed
192.168.40.2,273,Closed
192.168.40.2,255,Closed
192.168.40.2,587,Closed
192.168.40.2,668,Closed
192.168.40.2,814,Closed
192.168.40.2,179,Closed
192.168.40.2,235,Closed
192.168.40.2,969,Closed
192.168.40.2,191,Closed
192.168.40.2,355,Closed
192.168.40.2,194,Closed
192.168.40.2,507,Closed
192.168.40.2,520,Closed
192.168.40.2,552,Closed
192.168.40.2,728,Closed
192.168.40.2,987,Closed
192.168.40.2,98,Closed
192.168.40.2,360,Closed
192.168.40.2,353,Closed
192.168.40.2,778,Closed
192.168.40.2,596,Closed
192.168.40.2,810,Closed
192.168.40.2,835,Closed
192.168.40.2,979,Closed
192.168.40.2,506,Closed
192.168.40.2,980,Closed
192.168.40.2,131,Closed
192.168.40.2,167,Closed
192.168.40.2,840,Closed
192.168.40.2,214,Closed
192.168.40.2,664,Closed
192.168.40.2,341,Closed
192.168.40.2,192,Closed
192.168.40.2,1011,Closed
192.168.40.2,377,Closed
192.168.40.2,161,Closed
192.168.40.2,945,Closed
192.168.40.2,486,Closed
192.168.40.2,680,Closed
192.168.40.2,129,Closed
192.168.40.2,818,Closed
192.168.40.2,522,Closed
192.168.40.2,1021,Closed
192.168.40.2,467,Closed
192.168.40.2,170,Closed
192.168.40.2,278,Closed
192.168.40.2,88,Closed
192.168.40.2,163,Closed
192.168.40.2,569,Closed
192.168.40.2,891,Closed
192.168.40.2,912,Closed
192.168.40.2,878,Closed
192.168.40.2,874,Closed
192.168.40.2,151,Closed
192.168.40.2,81,Closed
192.168.40.2,637,Closed
192.168.40.2,1010,Closed
192.168.40.2,104,Closed
192.168.40.2,122,Closed
192.168.40.2,546,Closed
